,i_1C (A),rp_neg (m),Eeq_side (V),kappa_film (S/m),epsl_neg,Dl_elect (m^2/s),Ds_neg (m^2/s),i0ref_neg (A/m^2),E_min (V),i0_SEI (A/m^2),csmax_neg(mol/m^3),cl_0(mol/m^3),t_plus,i0ref_metal (A/m^2),sigma_neg,SEI_thickness(m),Capacity loss (%)
1144,4.870258106,6.97739e-06,0.000216761,0.000185737,0.29226119,7.13973e-10,1.7e-14,0.555762213,0.04100873,1.36417e-06,29260.4422,1099.182319,0.333233446,53.94466752,90.81728685,3.40678e-13,3.365578654
1145,4.283388926,4.7443e-06,0.388468138,7.32979e-05,0.331098721,5.8444e-10,1.6e-14,3.222048472,0.032891052,1.07993e-06,32200.4424,1082.812909,0.28708786,58.11441712,64.49554393,1.01344e-09,1.64253265
1146,3.685604545,3.17046e-06,0.072398139,0.000217015,0.244595783,5.04581e-10,8.56e-14,2.049552801,0.006959803,2.83711e-07,29829.8424,1038.895267,0.371212596,56.92023551,62.57531413,4.08104e-13,0.54768346
1147,1.47476025,5.13824e-06,0.106362433,2.71134e-05,0.383049437,3.72271e-10,5.92e-14,2.076733258,0.094016029,1.37422e-06,32187.71579,1052.79263,0.321966964,53.88700412,59.15666942,1.87202e-12,1.042951687
1148,4.443199091,3.89322e-06,0.173408058,4.43114e-05,0.23891675,4.7703e-10,3.55e-14,1.326632098,0.028721233,4.04696e-07,29529.8993,1018.892051,0.330534284,67.2117478,73.56961968,4.4491e-12,0.781076442
1149,3.530390735,8.05279e-06,0.080784627,0.000200776,0.328139456,5.09662e-10,6.85e-14,2.435744414,0.099958779,8.14307e-07,31993.87046,1077.522644,0.423098398,66.35116577,53.41731748,2.99031e-13,2.021076187
1150,5.604232525,7.29112e-06,0.395191525,8.51089e-05,0.233273803,4.72454e-10,9.75e-14,1.961265394,0.006713465,1.31895e-06,31066.75829,1099.901709,0.312537571,60.9556471,76.18641134,1.55788e-09,1.13316791
1151,1.210674428,4.92232e-06,0.241025422,0.000177425,0.325810235,5.68646e-10,2.03e-14,2.407716447,0.047540899,1.44847e-06,30115.93482,1132.520399,0.293565671,70.19079088,68.54369658,1.92295e-10,0.746188212
1152,4.196477764,3.2249e-06,0.126677205,0.000146066,0.340536702,4.30647e-10,7.43e-14,3.53549413,0.008233642,1.18875e-06,29213.11282,1138.932118,0.402779736,86.45607207,80.95213779,3.7461e-12,0.61676639
1153,1.603886293,1.00398e-05,0.219117533,0.000218286,0.297571527,3.20294e-10,1.54e-14,2.991558344,0.057678901,2.42875e-07,30402.65531,1027.574904,0.429468589,85.11308909,74.01760911,1.60656e-11,2.061936694
1154,4.514379597,6.351e-06,0.318667861,0.000145442,0.380545264,4.27075e-10,4.52e-14,1.864188,0.005697939,1.38406e-06,30500.29623,1171.797723,0.335669138,64.23241291,58.22530793,2.95283e-10,1.269715641
1155,5.886536081,4.76072e-06,0.251282123,6.41777e-05,0.359134128,7.476e-10,2.55e-14,0.791536965,0.087070043,1.31125e-06,30613.46188,1004.24939,0.348971237,72.17846845,93.56973175,1.34421e-11,2.918248052
1156,5.312062438,3.75016e-06,0.107136239,5.70904e-05,0.270975006,3.27178e-10,8.64e-14,0.523953491,0.004489332,1.32149e-06,31149.50512,1047.056518,0.350691603,57.22478767,89.24720512,4.10034e-12,0.663434878
1157,5.317493527,9.90044e-06,0.278030711,8.02641e-05,0.394112975,5.84397e-10,2.65e-14,1.957925042,0.004350595,7.09017e-07,31469.06148,1194.234114,0.351267619,77.95759266,74.48362848,6.24229e-11,4.156567543
1158,3.046167702,1.30748e-06,0.213255758,0.000194096,0.372316441,2.17845e-10,1.59e-14,1.771550308,0.091907952,3.91375e-07,30791.34101,1098.520853,0.255999193,96.12461729,55.90266309,2.5471e-12,0.980062672
1159,2.782067228,8.06372e-06,0.289461777,0.000115259,0.327928519,5.66127e-10,2.43e-14,2.02502481,0.082918008,1.39286e-06,29581.61504,1179.671493,0.351134848,99.84124224,83.96255968,6.49518e-11,3.137277465
